,main_image,1_image,1_image_score,2_image,2_image_score,3_image,3_image_score
1289,image_0037,image_0989,1344,image_1163,1733,image_1007,1754
1290,image_1008,image_0988,0,image_1112,1478,image_1196,1684
1291,image_0305,image_0303,1512,image_0292,1649,image_0267,1787
1292,image_0240,image_0234,875,image_0873,924,image_0503,1036
1293,image_0876,image_0461,286,image_0101,290,image_0363,305
1294,image_0272,image_1148,2464,image_1174,2475,image_0691,2680
1295,image_0915,image_0928,1210,image_0885,2107,image_0900,2483
1296,image_0359,image_0358,1470,image_0612,1613,image_0291,1680
1297,image_0778,image_1303,2278,image_0791,2751,image_1013,3187
1298,image_1252,image_0130,1209,image_0095,1379,image_1349,1647
1299,image_0743,image_0588,2347,image_0060,2454,image_0949,2494
1300,image_0771,image_0736,2479,image_1155,3075,image_1031,3201
1301,image_0406,image_0425,1371,image_0469,1556,image_0422,1556
1302,image_0532,image_1194,1800,image_0095,1975,image_1068,2211
1303,image_0476,image_0405,0,image_0797,3012,image_0791,4332
1304,image_1224,image_1221,887,image_1267,1007,image_1208,1246
1305,image_0557,image_0291,11423,image_0845,11558,image_0591,12385
1306,image_0592,image_1129,1268,image_1196,1477,image_1174,1483
1307,image_0090,image_0100,8,image_0922,924,image_0934,1055
1308,image_0576,image_0845,533,image_0591,979,image_0875,1295
1309,image_0307,image_1196,1147,image_0503,1319,image_0237,1577
1310,image_1335,image_0212,2248,image_0221,2253,image_1073,2275
1311,image_0234,image_1236,347,image_0097,432,image_1166,437
1312,image_0091,image_0799,1610,image_0791,1631,image_0797,1658
1313,image_0315,image_0591,1709,image_0291,2149,image_0845,2374
1314,image_0997,image_1133,1746,image_1164,1807,image_0591,1828
1315,image_0079,image_0557,2412,image_0537,2641,image_0257,3056
1316,image_0327,image_0345,409,image_0845,421,image_0457,471
1317,image_0308,image_1137,2093,image_0635,2133,image_1164,2177
1318,image_0198,image_0097,1251,image_0142,1275,image_1133,1322
1319,image_0239,image_1121,1907,image_1166,3123,image_1170,3174
1320,image_0610,image_0085,2491,image_0068,2597,image_0596,3098
1321,image_1297,image_0272,3458,image_0284,3873,image_0237,3960
1322,image_0599,image_0257,1588,image_0193,1594,image_0791,2307
1323,image_1064,image_1115,1781,image_0060,1966,image_1198,1992
1324,image_0020,image_0040,507,image_0948,918,image_0591,997
1325,image_1272,image_0234,751,image_1339,982,image_1236,1076
1326,image_0187,image_1166,2054,image_0566,2354,image_1121,3048
1327,image_0191,image_0210,2413,image_0167,2651,image_0528,2931
1328,image_1015,image_0994,172,image_0948,592,image_1006,748
1329,image_0145,image_0122,330,image_0089,442,image_0142,456
1330,image_0883,image_0104,1573,image_1031,1600,image_1014,1606
1331,image_0418,image_0446,0,image_1325,3321,image_0591,3331
1332,image_1277,image_1325,707,image_1339,768,image_0200,970
1333,image_0010,image_1306,1729,image_0597,1753,image_0739,1806
1334,image_0357,image_0591,1454,image_0363,1580,image_0316,1612
1335,image_0048,image_0014,0,image_0797,2516,image_0404,3209
1336,image_0631,image_0140,1970,image_0183,2052,image_0625,2088
1337,image_1091,image_1074,225,image_1082,1343,image_1066,1653
1338,image_0416,image_1217,1375,image_0085,1389,image_0101,1595
1339,image_0045,image_0535,978,image_1164,1022,image_1135,1041
1340,image_1065,image_0257,1875,image_1336,2944,image_0115,3745
1341,image_0598,image_0597,260,image_0845,524,image_0822,741
1342,image_0921,image_0882,0,image_1292,2929,image_0071,3069
1343,image_1248,image_1226,0,image_0557,778,image_0856,2929
1344,image_1096,image_1075,1417,image_0237,1457,image_0168,1573
1345,image_0645,image_1011,2689,image_0992,2689,image_0797,2900
1346,image_1018,image_0993,0,image_1142,700,image_1176,701
1347,image_0792,image_0996,1807,image_0903,1829,image_1183,1841
1348,image_0801,image_1354,751,image_0257,925,image_0557,930
1349,image_0900,image_0597,891,image_1135,1011,image_0845,1063
1350,image_0834,image_1277,943,image_0557,1004,image_1339,1028
1351,image_0260,image_0095,3057,image_0130,3081,image_0625,3098
1352,image_1223,image_1238,1087,image_0557,1280,image_0461,1452
1353,image_0221,image_0234,1005,image_0875,1173,image_0237,1190
1354,image_0475,image_0403,0,image_0845,1168,image_0591,1260
1355,image_0682,image_0654,676,image_0207,1451,image_0612,1496
1356,image_1342,image_0867,1871,image_1336,1893,image_1354,2180
1357,image_1025,image_1140,1969,image_1187,2769,image_1180,2803
1358,image_1061,image_1354,2384,image_0500,2635,image_1336,2742
1359,image_0134,image_1267,1323,image_1099,1427,image_0335,1448
